ROI1,ROI2,ROI1_nr,ROI2_nr
rFEF,rPCI,7,13
rFEF,rPCM,7,15
rFEF,rPCS,7,16
rFEF,rPFCCL,7,17
rFEF,rPFCDL,7,18
rFEF,rPFCDM,7,19
rFEF,rPFCM,7,20
rFEF,rPFCORB,7,21
rFEF,rTCC,7,30
rFEF,rTCI,7,31
rFEF,rTCS,7,33
rFEF,rV1,7,35
rFEF,rV2,7,36
rFEF,lFEF,7,45
rFEF,lPCI,7,51
rFEF,lPCM,7,53
rFEF,lPCS,7,54
rFEF,lPFCCL,7,55
rFEF,lPFCDL,7,56
rFEF,lPFCDM,7,57
rFEF,lPFCM,7,58
rFEF,lPFCORB,7,59
rFEF,lTCC,7,68
rFEF,lTCI,7,69
rFEF,lTCS,7,71
rFEF,lV1,7,73
rFEF,lV2,7,74
rPCI,rPCM,13,15
rPCI,rPCS,13,16
rPCI,rPFCCL,13,17
rPCI,rPFCDL,13,18
rPCI,rPFCDM,13,19
rPCI,rPFCM,13,20
rPCI,rPFCORB,13,21
rPCI,rTCC,13,30
rPCI,rTCI,13,31
rPCI,rTCS,13,33
rPCI,rV1,13,35
rPCI,rV2,13,36
rPCI,lFEF,13,45
rPCI,lPCI,13,51
rPCI,lPCM,13,53
rPCI,lPCS,13,54
rPCI,lPFCCL,13,55
rPCI,lPFCDL,13,56
rPCI,lPFCDM,13,57
rPCI,lPFCM,13,58
rPCI,lPFCORB,13,59
rPCI,lTCC,13,68
rPCI,lTCI,13,69
rPCI,lTCS,13,71
rPCI,lV1,13,73
rPCI,lV2,13,74
rPCM,rPCS,15,16
rPCM,rPFCCL,15,17
rPCM,rPFCDL,15,18
rPCM,rPFCDM,15,19
rPCM,rPFCM,15,20
rPCM,rPFCORB,15,21
rPCM,rTCC,15,30
rPCM,rTCI,15,31
rPCM,rTCS,15,33
rPCM,rV1,15,35
rPCM,rV2,15,36
rPCM,lFEF,15,45
rPCM,lPCI,15,51
rPCM,lPCM,15,53
rPCM,lPCS,15,54
rPCM,lPFCCL,15,55
rPCM,lPFCDL,15,56
rPCM,lPFCDM,15,57
rPCM,lPFCM,15,58
rPCM,lPFCORB,15,59
rPCM,lTCC,15,68
rPCM,lTCI,15,69
rPCM,lTCS,15,71
rPCM,lV1,15,73
rPCM,lV2,15,74
rPCS,rPFCCL,16,17
rPCS,rPFCDL,16,18
rPCS,rPFCDM,16,19
rPCS,rPFCM,16,20
rPCS,rPFCORB,16,21
rPCS,rTCC,16,30
rPCS,rTCI,16,31
rPCS,rTCS,16,33
rPCS,rV1,16,35
rPCS,rV2,16,36
rPCS,lFEF,16,45
rPCS,lPCI,16,51
rPCS,lPCM,16,53
rPCS,lPCS,16,54
