ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,padj HD,padj H_LF,padj H_HF,padj D_LF,padj D_HF,padj_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF,ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF
rFEF,rPCM,0.141841257,0.141845216,0.141841257,0.141841309,0.121461222,0.121464143,0.121461222,0.12146132,1,1,1,1,1,1,-3.26E-05,-3.21E-05,-3.26E-05,-4.32E-07,2.02E-09,4.34E-07,rFEF,rPCM,0.141841257,0.141845216,0.141841257,0.141841309,0.121461222,0.121464143,0.121461222,0.12146132,0.999390499,0.999398583,0.999390461,0.999991916,0.999999962,0.999991879,-3.26E-05,-3.21E-05,-3.26E-05,-4.32E-07,2.02E-09,4.34E-07
rFEF,rPCM,0.141841257,0.141845216,0.141841257,0.141841309,0.121461222,0.121464143,0.121461222,0.12146132,1,1,1,1,1,1,-3.26E-05,-3.21E-05,-3.26E-05,-4.32E-07,2.02E-09,4.34E-07,rFEF,rPCM,0.141841257,0.141845216,0.141841257,0.141841309,0.121461222,0.121464143,0.121461222,0.12146132,0.999390499,0.999398583,0.999390461,0.999991916,0.999999962,0.999991879,-3.26E-05,-3.21E-05,-3.26E-05,-4.32E-07,2.02E-09,4.34E-07
rFEF,rPCS,0.130711806,0.130711595,0.130711806,0.130711681,0.108022883,0.108019678,0.108022883,0.108022774,1,1,1,1,1,1,1.95E-06,7.92E-07,1.95E-06,1.16E-06,3.17E-10,-1.16E-06,rFEF,rPCS,0.130711806,0.130711595,0.130711806,0.130711681,0.108022883,0.108019678,0.108022883,0.108022774,0.999963535,0.999985175,0.999963541,0.999978361,0.999999994,0.999978366,1.95E-06,7.92E-07,1.95E-06,1.16E-06,3.17E-10,-1.16E-06
rFEF,rPFCCL,0.150551646,0.150547945,0.150551646,0.150551342,0.119085205,0.119087777,0.119085205,0.119085029,1,1,1,1,1,1,3.11E-05,2.85E-05,3.11E-05,2.55E-06,8.62E-10,-2.55E-06,rFEF,rPFCCL,0.150551646,0.150547945,0.150551646,0.150551342,0.119085205,0.119087777,0.119085205,0.119085029,0.999418778,0.999466512,0.999418794,0.999952265,0.999999984,0.999952282,3.11E-05,2.85E-05,3.11E-05,2.55E-06,8.62E-10,-2.55E-06
rFEF,rPFCDL,0.14982923,0.149813904,0.149825725,0.160274719,0.129713059,0.12958076,0.129711025,0.130741913,1,1,1,1,1,1,0.00011816,0.080330731,9.11E-05,-0.080172466,2.70E-05,0.08019999,rFEF,rPFCDL,0.14982923,0.149813904,0.149825725,0.160274719,0.129713059,0.12958076,0.129711025,0.130741913,0.997789235,0.059707329,0.998294777,0.060211469,0.999494697,0.060123541,0.00011816,0.080330731,9.11E-05,-0.080172466,2.70E-05,0.08019999
rFEF,rPFCDM,0.133553702,0.133551923,0.133553702,0.133553704,0.10850014,0.108500284,0.10850014,0.10850014,1,1,1,1,1,1,1.64E-05,1.64E-05,1.64E-05,-1.51E-08,-7.12E-11,1.50E-08,rFEF,rPFCDM,0.133553702,0.133551923,0.133553702,0.133553704,0.10850014,0.108500284,0.10850014,0.10850014,0.99969334,0.999693057,0.999693338,0.999999717,0.999999999,0.999999719,1.64E-05,1.64E-05,1.64E-05,-1.51E-08,-7.12E-11,1.50E-08
rFEF,rPFCM,0.141947326,0.141950054,0.141947324,0.141947366,0.121784395,0.121786255,0.121784396,0.121784125,1,1,1,1,1,1,-2.24E-05,-2.21E-05,-2.24E-05,-3.29E-07,1.46E-08,3.44E-07,rFEF,rPFCM,0.141947326,0.141950054,0.141947324,0.141947366,0.121784395,0.121786255,0.121784396,0.121784125,0.999581093,0.999587248,0.99958082,0.999993844,0.999999727,0.999993571,-2.24E-05,-2.21E-05,-2.24E-05,-3.29E-07,1.46E-08,3.44E-07
rFEF,rPFCORB,0.131808897,0.131723851,0.131808897,0.131808699,0.116324285,0.116183045,0.116324285,0.116324114,1,1,1,1,1,1,0.000731228,0.000729525,0.000731227,1.70E-06,8.24E-10,-1.70E-06,rFEF,rPFCORB,0.131808897,0.131723851,0.131808897,0.131808699,0.116324285,0.116183045,0.116324285,0.116324114,0.986319454,0.986351317,0.98631947,0.999968141,0.999999985,0.999968157,0.000731228,0.000729525,0.000731227,1.70E-06,8.24E-10,-1.70E-06
rFEF,rTCC,0.145634195,0.145624404,0.145634195,0.145634162,0.11905733,0.119063715,0.11905733,0.119057372,1,1,1,1,1,1,8.22E-05,8.19E-05,8.22E-05,2.73E-07,-8.61E-10,-2.73E-07,rFEF,rTCC,0.145634195,0.145624404,0.145634195,0.145634162,0.11905733,0.119063715,0.11905733,0.119057372,0.998462144,0.998467244,0.998462128,0.9999949,0.999999984,0.999994884,8.22E-05,8.19E-05,8.22E-05,2.73E-07,-8.61E-10,-2.73E-07
rFEF,rTCI,0.135330441,0.135323382,0.135330441,0.13533044,0.128726881,0.128719025,0.128726881,0.128726879,1,1,1,1,1,1,5.48E-05,5.48E-05,5.48E-05,7.17E-09,4.53E-11,-7.13E-09,rFEF,rTCI,0.135330441,0.135323382,0.135330441,0.13533044,0.128726881,0.128719025,0.128726881,0.128726879,0.998974448,0.998974582,0.998974449,0.999999866,0.999999999,0.999999867,5.48E-05,5.48E-05,5.48E-05,7.17E-09,4.53E-11,-7.13E-09
rFEF,rTCS,0.139872817,0.139866487,0.139872817,0.139872966,0.116685354,0.116682079,0.116685354,0.116685535,1,1,1,1,1,1,5.42E-05,5.55E-05,5.42E-05,-1.27E-06,1.31E-09,1.27E-06,rFEF,rTCS,0.139872817,0.139866487,0.139872817,0.139872966,0.116685354,0.116682079,0.116685354,0.116685535,0.998985357,0.998961579,0.998985381,0.999976222,0.999999976,0.999976197,5.42E-05,5.55E-05,5.42E-05,-1.27E-06,1.31E-09,1.27E-06
rFEF,rV1,0.15465592,0.153984682,0.15465592,0.154655921,0.122691352,0.122046742,0.122691352,0.122691356,1,1,1,1,1,1,0.005482845,0.005482854,0.005482845,-8.64E-09,1.82E-10,8.83E-09,rFEF,rV1,0.15465592,0.153984682,0.15465592,0.154655921,0.122691352,0.122046742,0.122691352,0.122691356,0.897698499,0.89769834,0.897698502,0.999999838,0.999999997,0.999999835,0.005482845,0.005482854,0.005482845,-8.64E-09,1.82E-10,8.83E-09
rFEF,rV2,0.127713172,0.127450372,0.127713173,0.127712754,0.112784679,0.11270351,0.112784679,0.112784306,1,1,1,1,1,1,0.002329881,0.002326181,0.002329888,3.70E-06,-6.22E-09,-3.71E-06,rFEF,rV2,0.127713172,0.127450372,0.127713173,0.127712754,0.112784679,0.11270351,0.112784679,0.112784306,0.956429791,0.956498919,0.956429674,0.999930721,0.999999884,0.999930604,0.002329881,0.002326181,0.002329888,3.70E-06,-6.22E-09,-3.71E-06
rFEF,lFEF,0.134966885,0.134963284,0.134966889,0.134966885,0.121286378,0.12128352,0.121286378,0.121286378,1,1,1,1,1,1,2.97E-05,2.97E-05,2.97E-05,-2.42E-10,-3.73E-08,-3.71E-08,rFEF,lFEF,0.134966885,0.134963284,0.134966889,0.134966885,0.121286378,0.12128352,0.121286378,0.121286378,0.999444754,0.99944475,0.999444055,0.999999995,0.999999301,0.999999306,2.97E-05,2.97E-05,2.97E-05,-2.42E-10,-3.73E-08,-3.71E-08
rFEF,lPCI,0.143784332,0.143779641,0.143785364,0.143784332,0.128331119,0.128326034,0.128336555,0.128331119,1,1,1,1,1,1,3.65E-05,3.65E-05,4.46E-05,-1.55E-09,-8.03E-06,-8.03E-06,rFEF,lPCI,0.143784332,0.143779641,0.143785364,0.143784332,0.128331119,0.128326034,0.128336555,0.128331119,0.999316414,0.999316385,0.999166098,0.999999971,0.999849672,0.999849701,3.65E-05,3.65E-05,4.46E-05,-1.55E-09,-8.03E-06,-8.03E-06
rFEF,lPCM,0.137174228,0.137168903,0.137178459,0.137174228,0.119179377,0.119174922,0.119179898,0.119179376,1,1,1,1,1,1,4.47E-05,4.47E-05,8.01E-05,-2.77E-09,-3.55E-05,-3.55E-05,rFEF,lPCM,0.137174228,0.137168903,0.137178459,0.137174228,0.119179377,0.119174922,0.119179898,0.119179376,0.999164432,0.999164381,0.998500478,0.999999948,0.999336056,0.999336108,4.47E-05,4.47E-05,8.01E-05,-2.77E-09,-3.55E-05,-3.55E-05
rFEF,lPCS,0.13826127,0.13827193,0.138246552,0.138261269,0.129278729,0.129304038,0.129291756,0.129278729,1,1,1,1,1,1,-8.24E-05,-8.24E-05,-0.000196185,3.77E-09,0.000113785,0.000113782,rFEF,lPCS,0.13826127,0.13827193,0.138246552,0.138261269,0.129278729,0.129304038,0.129291756,0.129278729,0.998458026,0.998457956,0.996329408,0.99999993,0.997871087,0.997871157,-8.24E-05,-8.24E-05,-0.000196185,3.77E-09,0.000113785,0.000113782
rFEF,lPFCCL,0.143828458,0.143826504,0.143807961,0.143828458,0.127958167,0.127959756,0.127929889,0.127958167,1,1,1,1,1,1,1.53E-05,1.53E-05,-0.000144864,-9.97E-10,0.000160125,0.000160126,rFEF,lPFCCL,0.143828458,0.143826504,0.143807961,0.143828458,0.127958167,0.127959756,0.127929889,0.127958167,0.99971452,0.999714502,0.997289608,0.999999981,0.99700408,0.997004061,1.53E-05,1.53E-05,-0.000144864,-9.97E-10,0.000160125,0.000160126
rFEF,lPFCDL,0.152131929,0.15214449,0.128824064,0.15213193,0.144242613,0.144017275,0.103457227,0.144242611,1,1,0.005148422,1,0.005310392,0.005310385,-8.71E-05,-8.71E-05,-0.185901336,-8.84E-09,0.185609586,0.185609598,rFEF,lPFCDL,0.152131929,0.15214449,0.128824064,0.15213193,0.144242613,0.144017275,0.103457227,0.144242611,0.998370056,0.998370222,1.36E-05,0.999999835,1.40E-05,1.40E-05,-8.71E-05,-8.71E-05,-0.185901336,-8.84E-09,0.185609586,0.185609598
rFEF,lPFCDM,0.150014729,0.150014564,0.150014728,0.15001473,0.130596758,0.130598723,0.130596755,0.130596757,1,1,1,1,1,1,1.26E-06,1.27E-06,1.25E-06,-9.91E-09,7.57E-09,1.75E-08,rFEF,lPFCDM,0.150014729,0.150014564,0.150014728,0.15001473,0.130596758,0.130598723,0.130596755,0.130596757,0.999976441,0.999976256,0.999976583,0.999999815,0.999999858,0.999999673,1.26E-06,1.27E-06,1.25E-06,-9.91E-09,7.57E-09,1.75E-08
rFEF,lPFCM,0.149890465,0.149883726,0.14987371,0.149890466,0.13535084,0.135350217,0.135322285,0.135350842,1,1,1,1,1,1,4.98E-05,4.98E-05,-7.40E-05,-6.37E-09,0.00012374,0.000123746,rFEF,lPFCM,0.149890465,0.149883726,0.14987371,0.149890466,0.13535084,0.135350217,0.135322285,0.135350842,0.999068901,0.999068782,0.998616025,0.999999881,0.997684835,0.997684716,4.98E-05,4.98E-05,-7.40E-05,-6.37E-09,0.00012374,0.000123746
rFEF,lPFCORB,0.142360128,0.142547832,0.142361025,0.142360128,0.126028715,0.126144839,0.126045637,0.126028716,1,1,1,1,1,1,-0.001488017,-0.001488018,-0.001480803,6.21E-10,-7.12E-06,-7.12E-06,rFEF,lPFCORB,0.142360128,0.142547832,0.142361025,0.142360128,0.126028715,0.126144839,0.126045637,0.126028716,0.972164962,0.97216495,0.972299854,0.999999988,0.999866832,0.99986682,-0.001488017,-0.001488018,-0.001480803,6.21E-10,-7.12E-06,-7.12E-06
rFEF,lTCC,0.149680029,0.149684017,0.14968874,0.149680029,0.120047356,0.120053499,0.120048495,0.120047356,1,1,1,1,1,1,-3.32E-05,-3.32E-05,3.93E-05,-2.17E-09,-7.25E-05,-7.25E-05,rFEF,lTCC,0.149680029,0.149684017,0.14968874,0.149680029,0.120047356,0.120053499,0.120048495,0.120047356,0.999378693,0.999378733,0.999264253,0.999999959,0.998642915,0.998642955,-3.32E-05,-3.32E-05,3.93E-05,-2.17E-09,-7.25E-05,-7.25E-05
rFEF,lTCI,0.148588576,0.148590348,0.148588574,0.148588577,0.130099906,0.130101743,0.130099905,0.130099906,1,1,1,1,1,1,-1.36E-05,-1.36E-05,-1.36E-05,-6.83E-09,2.00E-08,2.69E-08,rFEF,lTCI,0.148588576,0.148590348,0.148588574,0.148588577,0.130099906,0.130101743,0.130099905,0.130099906,0.999745378,0.999745506,0.999745004,0.999999872,0.999999625,0.999999498,-1.36E-05,-1.36E-05,-1.36E-05,-6.83E-09,2.00E-08,2.69E-08
rFEF,lTCS,0.119631587,0.119636319,0.119635235,0.119631587,0.111973817,0.111975203,0.111977187,0.111973817,1,1,1,1,1,1,-4.22E-05,-4.22E-05,-9.67E-06,-1.71E-09,-3.26E-05,-3.26E-05,rFEF,lTCS,0.119631587,0.119636319,0.119635235,0.119631587,0.111973817,0.111975203,0.111977187,0.111973817,0.999209613,0.999209645,0.999819,0.999999968,0.999390621,0.999390653,-4.22E-05,-4.22E-05,-9.67E-06,-1.71E-09,-3.26E-05,-3.26E-05
rFEF,lV1,0.145717767,0.145058846,0.145717837,0.145717767,0.129100572,0.128191297,0.129100594,0.129100572,1,1,1,1,1,1,0.005119614,0.005119613,0.005120157,1.76E-09,-5.41E-07,-5.43E-07,rFEF,lV1,0.145717767,0.145058846,0.145717837,0.145717767,0.129100572,0.128191297,0.129100594,0.129100572,0.904442154,0.904442187,0.90443208,0.999999967,0.99998988,0.999989847,0.005119614,0.005119613,0.005120157,1.76E-09,-5.41E-07,-5.43E-07
rFEF,lV2,0.137442476,0.137484128,0.137440346,0.137442476,0.119841099,0.119897056,0.11984382,0.1198411,1,1,1,1,1,1,-0.000347323,-0.000347323,-0.000365083,-3.34E-10,1.78E-05,1.78E-05,rFEF,lV2,0.137442476,0.137484128,0.137440346,0.137442476,0.119841099,0.119897056,0.11984382,0.1198411,0.993501679,0.993501686,0.993169406,0.999999994,0.999667564,0.999667558,-0.000347323,-0.000347323,-0.000365083,-3.34E-10,1.78E-05,1.78E-05
