ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF
rPCM,lPFCDL,0.1498841705139369,0.14974474334279922,0.13087724626686964,0.1498839203456414,0.12217791977426545,0.12207269308232306,0.11675101118659134,0.12217750006008568,0.978651647795439,0.9786899064945024,0.00021839248571490537,0.9999617074046743,0.00019742109814139917,0.00019745408647212114,0.0011411538843459487,0.0011391083182942735,-0.1578925241880975,2.046646290455219e-06,0.1589877287857301,0.1589859216746475
rPCM,lPFCDL,0.1498841705139369,0.14974474334279922,0.13087724626686964,0.1498839203456414,0.12217791977426545,0.12207269308232306,0.11675101118659134,0.12217750006008568,0.978651647795439,0.9786899064945024,0.00021839248571490537,0.9999617074046743,0.00019742109814139917,0.00019745408647212114,0.0011411538843459487,0.0011391083182942735,-0.1578925241880975,2.046646290455219e-06,0.1589877287857301,0.1589859216746475
rPFCDL,rTCC,0.1426289084601298,0.1423674757424556,0.14262652536696505,0.15600885378199056,0.12256949281266932,0.1224836465491725,0.12256672010587881,0.13599749670508748,0.960113767033575,0.013553689568613535,0.9604766044071285,0.015483467097285201,0.9996363881381441,0.01546409331947332,0.0021327116416215036,0.10535839380363483,0.0021132948018987687,-0.10330679943695611,1.9434172256894696e-05,0.1033262469734875
rPFCDM,lPFCDL,0.13366360775520955,0.1336298098239489,0.15158145842371157,0.13366364354021834,0.12561320775551743,0.1255979279437775,0.1350204038592317,0.12561321329883024,0.9949678583395699,0.9949625305258044,0.0012683441564154804,0.999994672293084,0.0012962314893490963,0.001296260742892082,0.000268957543740924,0.000269242308130207,0.13760943823433391,-2.8475300510077575e-07,-0.13734260689976976,-0.13734232979113678
rPFCM,lPFCDL,0.15426789542413746,0.15458900208091997,0.1350490291066212,0.15426758054394585,0.12370512781779197,0.12378724407105135,0.12057262106611787,0.12370502215531379,0.9515019691903279,0.9514544496128655,0.00018240559117313525,0.9999523972177007,0.0002312681938457016,0.0002313213134343216,-0.002593701340430747,-0.002596245856282415,-0.15984130059929216,2.544253190468668e-06,0.15726810384357015,0.15726559606328946
rTCC,lPFCDL,0.13052001830899118,0.1304595911121975,0.14562714687900596,0.130519919226591,0.11369173128216649,0.11366954067209711,0.12351732127240116,0.11369155170962458,0.9900594772980376,0.9900757680803984,0.002770851700883305,0.9999837016929739,0.0028832761173885227,0.002883072261847693,0.0005313105687164894,0.0005304397984193739,0.12772722207511172,8.71104957015704e-07,-0.1272069717181885,-0.12720789817665099
rV1,lPFCDL,0.13717082286456264,0.13676745854270098,0.12556170593806537,0.13717081611234813,0.11833799387042554,0.11791430352159983,0.1090329064928739,0.11833801950366458,0.9362086974772802,0.936209769966317,0.020808069646066733,0.9999989329211931,0.016852105384076967,0.01685218191223477,0.003413133238049316,0.0034130757321012306,-0.09863166802955273,5.7032772584357646e-08,0.10198432418405937,0.10198425291890835
lPFCDL,lPFCDM,0.14750930136116783,0.14729461355748114,0.13201862352540217,0.14750930930717832,0.13231979069790992,0.13206257348577105,0.10742714824849105,0.13231980243119557,0.9696349326497606,0.9696338106713848,0.002964204388760771,0.9999988769506967,0.0026161010305567494,0.002616089145022438,0.0016233313839768134,0.0016233913944922308,-0.126843821836052,-6.002425978952923e-08,0.1284758320770151,0.1284758911127876
lPFCDL,lV1,0.13126396973591786,0.13145891032333093,0.1437945190844807,0.1312639683591777,0.11628282544736322,0.1164155774890156,0.11936962916900631,0.11628281111869689,0.9686742403286636,0.9686740172818881,0.01426067383673841,0.9999997785830075,0.012749716687583767,0.012749701528166535,-0.0016747164891601906,-0.0016747284196715713,0.1045785101634651,1.1834200902238807e-08,-0.10629023985702543,-0.10629025791235369
lPFCDL,lV2,0.1546010190414867,0.1547342045464475,0.1407434720798224,0.15460101811069152,0.12840888172931256,0.12839407707272793,0.12247228397272686,0.1284088501556513,0.9806037114767191,0.980603573563923,0.009012312827880422,0.9999998644393527,0.00969258900141197,0.009692584527631682,-0.0010367867467697,-0.0010367941200542178,-0.11145756669782853,7.245387607554548e-09,0.11038987578903355,0.11038988258774186
