ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF
rPCM,lPFCDL,0.16088236644321047,0.16072082637864515,0.1098882508156231,0.16088219565043885,0.12534556185798193,0.12499411885633273,0.10960803425425585,0.1253458452486089,0.9874153491958356,0.9874286678168706,1.7435668877717238e-07,0.9999867126268769,1.6688888682155276e-07,1.6691027967782664e-07,0.0012884129835876753,0.001287049313749126,-0.431701032493575,1.3603009481659219e-06,0.4323852551309634,0.4323832529897761
rPCM,lPFCDL,0.16088236644321047,0.16072082637864515,0.1098882508156231,0.16088219565043885,0.12534556185798193,0.12499411885633273,0.10960803425425585,0.1253458452486089,0.9874153491958356,0.9874286678168706,1.7435668877717238e-07,0.9999867126268769,1.6688888682155276e-07,1.6691027967782664e-07,0.0012884129835876753,0.001287049313749126,-0.431701032493575,1.3603009481659219e-06,0.4323852551309634,0.4323832529897761
rPFCCL,rPFCDL,0.1285852467433455,0.12867396622169516,0.12858512550685816,0.14719778809580708,0.09219890105746553,0.09251030384811788,0.09220155971301916,0.12922708975017744,0.9906323875913631,0.0443061356873286,0.9906197219844658,0.04306492893540789,0.9999871772718462,0.04306559680040696,-0.0009590357264312394,0.16455944962812194,-0.0009603324634935481,-0.16553619704819988,1.3127327052601858e-06,0.16553566510708193
rPFCDL,lPCI,0.11947758527869827,0.11923924708906933,0.11946326095762917,0.14289851771038278,0.09717096387009198,0.09729857328703968,0.09714435041172403,0.1141557787530875,0.9761006585542522,0.006569633184777378,0.9775335644114084,0.007098886326206177,0.9985622748491652,0.007057598585382617,0.0024470729964796217,0.22269681787721068,0.002300316471930331,-0.22057510194919744,0.0001471878548663173,0.2207354044526815
rPFCDL,lPFCORB,0.12701190395244297,0.12695887022511082,0.1270517432240546,0.15822343400885272,0.09520796937088608,0.09526223986683086,0.09527289124058547,0.13182918664795623,0.9945696126881024,0.0009420458558975837,0.9904936631998149,0.0009587273767080499,0.9959208731076392,0.0009757559485885146,0.0005559427069287415,0.27139264204205665,0.0009732386959059436,-0.27098523107853545,-0.00041760431954243615,0.27057607749766993
rPFCDM,lPFCDL,0.1371120049391893,0.13656368767806285,0.17321265320221332,0.13711204379599143,0.13188514439358728,0.1322324514511383,0.16266417780781936,0.13188511294257613,0.9595278322519001,0.9595249618278913,0.0026097530097820734,0.9999971269027585,0.0029907404575431223,0.0029907686135566785,0.004145139676743418,0.004145433917316716,0.24682927876566318,-2.9413465440685147e-07,-0.24339054113925337,-0.2433903021880966
rPFCM,lPFCDL,0.15258834017621334,0.15277207633505602,0.12833335554960407,0.15258813267335786,0.1251100846279106,0.12512492860997307,0.12382631029302889,0.12511054038916108,0.9856803542854166,0.985664210210069,0.016675465888502213,0.9999838262746038,0.01750070747218507,0.017501873459503273,-0.0014660592344753307,-0.0014677122588224708,-0.196003231479021,1.65579259259587e-06,0.19454129179869875,0.19453926948950573
rV2,lPFCDL,0.12111319198863886,0.12105846352910984,0.18134475053526763,0.12111292131345994,0.10828485499210612,0.1083476091800034,0.14010611260594838,0.10828335504111056,0.995072847649602,0.9950971820397222,6.603757851826229e-09,0.9999756239788666,6.75907257804362e-09,6.7568760962332634e-09,0.0005044227069795091,0.0005019314151883947,0.48057222651095716,2.4955063996841075e-06,-0.48024003245827,-0.48024467829093204
lPCI,lPFCDL,0.1310496180556138,0.13111064090784177,0.1682624008690679,0.1310496503521346,0.10648832187178724,0.10627606616203059,0.1315887428847666,0.1064884005942722,0.9944063038219331,0.9944092663237963,0.00016077165567843175,0.9999970424459338,0.00015873310801734297,0.00015873586722496154,-0.0005726619273713682,-0.0005723586324094379,0.31010510354285914,-3.0278096077239617e-07,-0.3103696016578191,-0.3103692414943673
lPFCCL,lPFCDL,0.11474471082914701,0.11472270114833855,0.13744655992086935,0.11474468098576561,0.10306304447064833,0.10295601881118871,0.11295054494145151,0.10306305157988864,0.99791639747535,0.9979192227405203,0.010381196379565149,0.9999971762636556,0.010491436170384888,0.010491337594891766,0.00021331001191904724,0.00021302077310761058,0.20992123916477615,2.8908130982418214e-07,-0.20961900043911916,-0.20961926943066553
lPFCDL,lPFCDM,0.14647620569233796,0.1456060297608109,0.11841588705345904,0.1464762417462498,0.12070072495411092,0.11986540421829374,0.09561096976661806,0.1207007368366577,0.9295449583002802,0.9295420502453143,0.002264376478933151,0.9999970871267382,0.0017079119667935479,0.0017078897785393489,0.007222290134216524,0.007222589016649353,-0.25037028214278695,-2.982067428232884e-07,0.257285708880789,0.2572860238966337
lPFCDL,lTCC,0.15158500359531762,0.15189345371684912,0.13003431294725387,0.1515850545325301,0.1364204979850877,0.13694042752588664,0.12009856532250351,0.1364205446201952,0.9779960009733237,0.977999637518273,0.03839743493494415,0.9999963588835685,0.040771811833579474,0.04077137623296695,-0.002252955877397836,-0.0022525834424652956,-0.1694372035663295,-3.7276097299546006e-07,0.16740527723163942,0.16740564067048047
lPFCDL,lV1,0.1200015247611996,0.11925919200592754,0.1752431356329387,0.12000153337644098,0.098775031125453,0.09876349556128,0.14094232523764505,0.09877507550583788,0.9268113109243148,0.9268104803135351,2.8528068579109604e-08,0.9999991494511262,4.29511703824792e-08,4.295156450195641e-08,0.007503290749811607,0.007503376144389417,0.4592704441878309,-8.707533300626297e-08,-0.4531632041237405,-0.45316306638637216
lPFCDL,lV2,0.16615907515436018,0.16670685470696797,0.14693690857539768,0.16615908030461582,0.12192711125671976,0.121312437842077,0.12428693196913974,0.12192711623244573,0.9561005084305314,0.9561009216577159,0.0494920780967683,0.9999995880850167,0.056732367872341684,0.056732306697258685,-0.004496506267480067,-0.004496463898851282,-0.16071312706998508,-4.216998628315196e-08,0.1558743058556312,0.15587434449994694
